t,Q,dQ,tau,beta,c,y0,dtau,dbeta,dc,dy0
749.9998,2.0,0.01,82.59718810210703,1.0849236487579161,0.01448746763587444,1.0022155625745996,0.44516553361951133,0.007442403789550137,5.870540270558281e-05,4.815712884553608e-06
2999.99975,2.0,0.01,248.1338929462562,1.08729239242618,0.013672910509495984,1.0022434544116485,0.6100006135988669,0.003497136077143629,2.5566449245146304e-05,2.8206068621154775e-06
5999.999500000001,2.0,0.01,404.07990372692825,1.0200179064018071,0.013324309056114314,1.0022090173726559,0.9962295566677998,0.0033098842118276283,2.5583375668981765e-05,4.324874731347195e-06
9749.99905,2.0,0.01,544.8819732396526,0.9403749834955438,0.01311054992056121,1.0021885083114221,1.2886119742228328,0.0026489727906657723,2.299738817470779e-05,3.5729815558360334e-06
14749.999000000002,2.0,0.01,568.841564751732,0.9227300973269177,0.013066141542267318,1.0022429600018496,1.1143815561006782,0.002026513076099317,1.83007268161485e-05,2.4228148809324766e-06
20249.999,2.0,0.01,581.0961559363781,0.9226605334663103,0.012996948755396587,1.0022941640521548,1.1383450916360418,0.0020370758510331512,1.8267168931703834e-05,2.471715375603069e-06
26499.99935,2.0,0.01,639.8899598396013,0.8843887959864685,0.01301973607216822,1.0023448188021613,1.240018048954472,0.0017911351839439169,1.7388894422342946e-05,2.0615993281207314e-06
33499.9995,2.0,0.01,766.8649937110362,0.8256905536387722,0.012883172560459732,1.0023344071235631,1.421118505025505,0.0015987824313273445,1.6673875835749297e-05,2.500808412210914e-06
39499.99955,2.0,0.01,853.4078454026095,0.7636888387184471,0.01309616229431021,1.0021610423031528,2.2182721690146194,0.00254607900023973,2.8646207997332814e-05,8.380163742180557e-06
49044.499350000006,2.0,0.01,932.5467982029822,0.718736783174112,0.013014605850666328,1.0022104362016515,1.4358589717256758,0.0008806744597134362,1.2054689989866212e-05,1.1362483655256594e-06
