t,Q,dQ,tau,beta,c,y0,dtau,dbeta,dc,dy0
999.9995500000001,2.0,0.01,1219.7408603157878,1.4614497666980106,0.020711645575567594,1.0031918039466152,5.479038169311091,0.006725290602600937,8.752924150949233e-05,7.519973735330447e-05
2999.9992,2.0,0.01,681.9586719886695,1.3282372851490116,0.01901877375796951,1.0047238376975403,1.3144306438524533,0.005096522036647148,3.885738902848651e-05,1.9440784731654085e-05
4999.999400000001,2.0,0.01,541.4415618360536,1.2056499463266375,0.019854706608316453,1.003712261046291,1.1881185999208603,0.00494221172922856,4.337492629165066e-05,1.6519643451649424e-05
6999.999600000001,2.0,0.01,432.23781906970294,1.2287560033784597,0.019663921370031645,1.0035740988140283,0.970764267708004,0.004859010037851231,4.0602554462377075e-05,1.116949711466608e-05
8999.9998,2.0,0.01,375.3777031084704,1.1913543345095663,0.019562172325629623,1.0034584601048473,1.0821404743754879,0.005656446428866802,4.9513602191002404e-05,1.1580450990662762e-05
10999.999450000001,2.0,0.01,330.83049166626745,1.1698535219386883,0.01971067548547656,1.0035868897568034,1.0130598186748512,0.005613637254395586,5.122008081892719e-05,1.0432297066400004e-05
12999.9991,2.0,0.01,343.53677219034483,1.1706545719497163,0.019229495341754332,1.0036998078631503,0.9863609819515902,0.005322125925339895,4.724280432076524e-05,1.0028200552721666e-05
14999.9993,2.0,0.01,330.5967313919633,1.1831676338349966,0.019143519822912902,1.0036800489769386,0.9916002626901171,0.0056163463511471985,4.889039417889037e-05,9.930390582591257e-06
16520.84995,2.0,0.01,348.1831107783329,1.2314130760706972,0.018593453111250546,1.0039416192549824,1.5058170239664521,0.009976797981269927,8.385347990789695e-05,4.2516357412454936e-05
18520.850150000002,2.0,0.01,306.12740432561793,1.0492076252244953,0.019912692880445615,1.003272796166787,1.0575135054894809,0.004649059832834924,5.216235615745543e-05,6.816326102336761e-06
20999.999350000002,2.0,0.01,321.2345736094413,1.114148373381312,0.019245337611723257,1.0034541712288851,0.9944453871943856,0.005143206513903161,4.953492291916283e-05,9.88197101325961e-06
23032.56505,2.0,0.01,433.3599393278042,1.100564744062464,0.018821737851249576,1.0034426296460672,1.0645699110806193,0.004406998891550479,4.1717695551768987e-05,1.1747930962286313e-05
25032.56525,2.0,0.01,491.0231408388199,1.133864796687698,0.01860831300136534,1.0034692024118708,1.4518065542358003,0.005954074249647431,5.353097208921602e-05,1.9379942090570433e-05
26999.999400000004,2.0,0.01,518.9433684059663,1.0995296827822383,0.018751880312168345,1.0033554035732206,2.101097699457999,0.007816092509750683,7.445431365794942e-05,2.846056693161881e-05
28999.999600000003,2.0,0.01,534.7786518619113,1.0611384137905053,0.018864117171727035,1.003159229068497,1.7498858458760467,0.005996819996762366,6.103225303237281e-05,2.5002264895970904e-05
30999.9998,2.0,0.01,560.0613995581649,1.0267453947161043,0.01909408219880543,1.0029640541821392,1.7777782775517166,0.0054951294836852755,6.022547281965482e-05,2.6913616632932407e-05
32999.99945,2.0,0.01,560.2795438502395,1.041153094338262,0.01871607302902334,1.0032415721882577,1.9897800912728816,0.0062990019787579335,6.618772763182173e-05,2.93189038941977e-05
34999.9991,2.0,0.01,575.6256147019245,1.0147174803913739,0.018896943680048295,1.0031400759025606,1.9058642789018139,0.005577800962870965,6.210782651445884e-05,2.9005756522910138e-05
36999.9993,2.0,0.01,586.5305124880815,1.00325838111525,0.01876177536421647,1.0031692880734384,2.153331059258996,0.00601614752295096,6.812126320554935e-05,3.282123706946657e-05
38999.9995,2.0,0.01,609.4779570097186,0.9721859731366085,0.01915188812186075,1.002868866470512,2.414669918689332,0.0059820796016025,7.372979393790778e-05,3.7896796640309225e-05
40999.9997,2.0,0.01,647.3163403640236,0.9981188745297823,0.018950085006606887,1.0028678529828055,2.786286253339869,0.006572433969410012,7.872005144527185e-05,4.2849349904153424e-05
42999.999350000006,2.0,0.01,613.9910683332639,0.9606339529207082,0.01885127096497674,1.0030849970358222,2.7019390710529443,0.006451605434606246,8.002615401895428e-05,4.174147162589755e-05
44999.999,2.0,0.01,637.679468282637,0.9305996286815872,0.018950233028145302,1.002934086848087,2.7741700519504704,0.00578296298789391,7.712443762117177e-05,4.256978607724478e-05
46999.9992,2.0,0.01,598.240497597935,0.9311050750914796,0.01881895869492417,1.003328040862134,2.4938403695532436,0.005833176805509775,7.522226783361251e-05,3.866917467208138e-05
48999.9994,2.0,0.01,599.1684067585545,0.9412072328082118,0.018746005275799116,1.0032721032194853,2.5538403296257646,0.006091036098951597,7.69399235508875e-05,3.9408601777992407e-05
51484.95220000001,2.0,0.01,612.8999905211651,0.9288354353712742,0.018957796223180112,1.003171277378138,1.7793747052460511,0.004046808482910304,4.961917631021191e-05,1.5673938072463828e-05
